# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	2230
#@/user_id	5b6267af-6f98-4b37-bfcd-c62aa7d6ebbc
a 	啊	c=5 d=4.64539 t=2230
jin guan 	尽管	c=1 d=0.985112 t=2230
jin ru 	进入	c=1 d=0.946485 t=2230
jin zhi 	紧致	c=1 d=0.970446 t=2230
jin zhuo mian 	进桌面	c=1 d=0.99005 t=2230
jing yin 	静音	c=1 d=0.927743 t=2230
jiu 	就	c=5 d=3.48208 t=2230
jiu bu 	就不	c=0 d=0.0909373 t=2230
jiu bu sheng cheng 	就不生成	c=1 d=0.913931 t=2230
jiu cong 	就从	c=1 d=0.701173 t=2230
jiu hen hao kan 	就很好看	c=1 d=0.937067 t=2230
jiu xing 	就行	c=4 d=2.94361 t=2230
jiu yao 	就要	c=1 d=0.980199 t=2230
jiu yong zhe ge 	就用这个	c=1 d=1 t=2230
ju jue 	拒绝	c=2 d=1.75628 t=2230
ju li 	距离	c=1 d=0.970446 t=2230
ju ti 	具体	c=1 d=0.951229 t=2230
ju zhong 	居中	c=2 d=1.86437 t=2230
ka 	卡	c=1 d=1 t=2230
ka si 	卡死	c=1 d=0.970446 t=2230
ka zai 	卡在	c=1 d=0.856415 t=2230
kai ji 	开机	c=5 d=3.93214 t=2230
kan 	看	c=3 d=2.13804 t=2230
kan bu jian 	看不见	c=1 d=0.97531 t=2230
kan guo 	看过	c=1 d=0.951229 t=2230
kan kan 	看看	c=4 d=2.21211 t=2230
kan yi xia 	看一下	c=3 d=2.81464 t=2230
ke lian 	可怜	c=1 d=0.88692 t=2230
ke shi 	可是	c=1 d=0.806541 t=2230
ke yi 	可以	c=5 d=3.79263 t=2230
ke yi yong 	可以用	c=1 d=0.951229 t=2230
kong 	空	c=1 d=0.918512 t=2230
kong jian 	空间	c=1 d=1 t=2230
kong zhi 	控制	c=4 d=2.72767 t=2230
ku cun 	库存	c=1 d=0.680451 t=2230
kuai 	块	c=1 d=1 t=2230
kuai jie jian 	快捷键	c=1 d=0.995012 t=2230
kuan 	宽	c=1 d=0.923116 t=2230
kuan du 	宽度	c=1 d=0.913931 t=2230
lai 	来	c=2 d=1.79391 t=2230
lai shuo 	来说	c=1 d=0.99005 t=2230
lai zi 	来自	c=1 d=0.923116 t=2230
lan wen 	烂文	c=1 d=1 t=2230
lan ya 	蓝牙	c=1 d=0.960789 t=2230
